GroupName,ChartName,point_time,point_val,Batch_ID
Default,>.56 (Cst/mL),2025/3/10 00:45,59,T4A01F9T
Default,>.56 (Cst/mL),2025/3/11 00:45,60,T4A02F9T
Default,>.56 (Cst/mL),2025/3/12 00:45,59,T4A03F9T
Default,>.56 (Cst/mL),2025/3/13 00:45,59,T4B01F9T
Default,>.56 (Cst/mL),2025/3/14 00:45,57,T4D01F9T
Default,>.56 (Cst/mL),2025/3/15 00:45,56,T4D07F9T
Default,>.56 (Cst/mL),2025/3/16 00:45,56,T4E01F9T
Default,>.56 (Cst/mL),2025/3/17 00:45,56,T4E03F9T
Default,>.56 (Cst/mL),2025/3/18 00:45,56,T4F01F9T
Default,>.56 (Cst/mL),2025/3/19 00:45,56,T4G01F9T
Default,>.56 (Cst/mL),2025/3/20 00:45,58,T4H01F9T
Default,>.56 (Cst/mL),2025/3/21 00:45,56,T4J01F9T
Default,>.56 (Cst/mL),2025/3/22 00:45,56,T4K01F9T
Default,>.56 (Cst/mL),2025/3/23 00:45,56,T4L01F9T
Default,>.56 (Cst/mL),2025/3/24 00:45,57,T4M01F9T
Default,>.56 (Cst/mL),2025/3/25 00:45,56,T5A01F9T
Default,>.56 (Cst/mL),2025/3/26 00:45,56,T5B01F9T
Default,>.56 (Cst/mL),2025/3/27 00:45,56,T5C01F9T
Default,>.56 (Cst/mL),2025/3/28 00:45,56,T5C03F9T
Default,>.56 (Cst/mL),2025/3/29 00:45,56,T5D01F9T
