GroupName,ChartName,point_time,point_val,Batch_ID
Default,Chemical 1,2025/3/10 00:45,16820,T4A01F9T
Default,Chemical 1,2025/3/11 00:45,16748,T4A02F9T
Default,Chemical 1,2025/3/12 00:45,16822,T4A03F9T
Default,Chemical 1,2025/3/13 00:45,16825,T4B01F9T
Default,Chemical 1,2025/3/14 00:45,16748,T4D01F9T
Default,Chemical 1,2025/3/15 00:45,16740,T4D07F9T
Default,Chemical 1,2025/3/16 00:45,16792,T4E01F9T
Default,Chemical 1,2025/3/17 00:45,16804,T4E03F9T
Default,Chemical 1,2025/3/18 00:45,16814,T4F01F9T
Default,Chemical 1,2025/3/19 00:45,16803,T4G01F9T
Default,Chemical 1,2025/3/20 00:45,16839,T4H01F9T
Default,Chemical 1,2025/3/21 00:45,16797,T4J01F9T
Default,Chemical 1,2025/3/22 00:45,16793,T4K01F9T
Default,Chemical 1,2025/3/23 00:45,16781,T4L01F9T
Default,Chemical 1,2025/3/24 00:45,16730,T4M01F9T
Default,Chemical 1,2025/3/25 00:45,16800,T5A01F9T
Default,Chemical 1,2025/3/26 00:45,16734,T5B01F9T
Default,Chemical 1,2025/3/27 00:45,16756,T5C01F9T
Default,Chemical 1,2025/3/28 00:45,16731,T5C03F9T
Default,Chemical 1,2025/3/29 00:45,16788,T5D01F9T
