GroupName,ChartName,point_time,point_val,Batch_ID
Default,Conductivity,2025/3/10 00:45,16811,T4A01F9T
Default,Conductivity,2025/3/11 00:45,16813,T4A02F9T
Default,Conductivity,2025/3/12 00:45,16822,T4A03F9T
Default,Conductivity,2025/3/13 00:45,16812,T4B01F9T
Default,Conductivity,2025/3/14 00:45,16771,T4D01F9T
Default,Conductivity,2025/3/15 00:45,16744,T4D07F9T
Default,Conductivity,2025/3/16 00:45,16766,T4E01F9T
Default,Conductivity,2025/3/17 00:45,16866,T4E03F9T
Default,Conductivity,2025/3/18 00:45,16808,T4F01F9T
Default,Conductivity,2025/3/19 00:45,16835,T4G01F9T
Default,Conductivity,2025/3/20 00:45,16858,T4H01F9T
Default,Conductivity,2025/3/21 00:45,16851,T4J01F9T
Default,Conductivity,2025/3/22 00:45,16858,T4K01F9T
Default,Conductivity,2025/3/23 00:45,16840,T4L01F9T
Default,Conductivity,2025/3/24 00:45,16743,T4M01F9T
Default,Conductivity,2025/3/25 00:45,16854,T5A01F9T
Default,Conductivity,2025/3/26 00:45,16803,T5B01F9T
Default,Conductivity,2025/3/27 00:45,16860,T5C01F9T
Default,Conductivity,2025/3/28 00:45,16781,T5C03F9T
Default,Conductivity,2025/3/29 00:45,16819,T5D01F9T
