GroupName,ChartName,point_time,point_val,Batch_ID
Default,K (ppm),2025/3/10 00:45,9044,T4A01F9T
Default,K (ppm),2025/3/11 00:45,9065,T4A02F9T
Default,K (ppm),2025/3/12 00:45,9030,T4A03F9T
Default,K (ppm),2025/3/13 00:45,8992,T4B01F9T
Default,K (ppm),2025/3/14 00:45,9065,T4D01F9T
Default,K (ppm),2025/3/15 00:45,9056,T4D07F9T
Default,K (ppm),2025/3/16 00:45,8995,T4E01F9T
Default,K (ppm),2025/3/17 00:45,9062,T4E03F9T
Default,K (ppm),2025/3/18 00:45,8987,T4F01F9T
Default,K (ppm),2025/3/19 00:45,8982,T4G01F9T
Default,K (ppm),2025/3/20 00:45,9046,T4H01F9T
Default,K (ppm),2025/3/21 00:45,8991,T4J01F9T
Default,K (ppm),2025/3/22 00:45,9069,T4K01F9T
Default,K (ppm),2025/3/23 00:45,9033,T4L01F9T
Default,K (ppm),2025/3/24 00:45,9040,T4M01F9T
Default,K (ppm),2025/3/25 00:45,9013,T5A01F9T
Default,K (ppm),2025/3/26 00:45,8981,T5B01F9T
Default,K (ppm),2025/3/27 00:45,9011,T5C01F9T
Default,K (ppm),2025/3/28 00:45,9008,T5C03F9T
Default,K (ppm),2025/3/29 00:45,8998,T5D01F9T
