GroupName,ChartName,point_time,point_val,Batch_ID
Default,LPC_0.29,2025/3/10 00:45,10917,T4A01F9T
Default,LPC_0.29,2025/3/11 00:45,6506,T4A02F9T
Default,LPC_0.29,2025/3/12 00:45,6613,T4A03F9T
Default,LPC_0.29,2025/3/13 00:45,8066,T4B01F9T
Default,LPC_0.29,2025/3/14 00:45,9068,T4D01F9T
Default,LPC_0.29,2025/3/15 00:45,8838,T4D07F9T
Default,LPC_0.29,2025/3/16 00:45,6199,T4E01F9T
Default,LPC_0.29,2025/3/17 00:45,3014,T4E03F9T
Default,LPC_0.29,2025/3/18 00:45,8062,T4F01F9T
Default,LPC_0.29,2025/3/19 00:45,8496,T4G01F9T
Default,LPC_0.29,2025/3/20 00:45,2713,T4H01F9T
Default,LPC_0.29,2025/3/21 00:45,4636,T4J01F9T
Default,LPC_0.29,2025/3/22 00:45,3859,T4K01F9T
Default,LPC_0.29,2025/3/23 00:45,4045,T4L01F9T
Default,LPC_0.29,2025/3/24 00:45,11184,T4M01F9T
Default,LPC_0.29,2025/3/25 00:45,15414,T5A01F9T
Default,LPC_0.29,2025/3/26 00:45,5491,T5B01F9T
Default,LPC_0.29,2025/3/27 00:45,8694,T5C01F9T
Default,LPC_0.29,2025/3/28 00:45,8185,T5C03F9T
Default,LPC_0.29,2025/3/29 00:45,5583,T5D01F9T
