GroupName,ChartName,point_time,point_val,Batch_ID
Default,Na (ppb),2025/3/10 00:45,630,T4A01F9T
Default,Na (ppb),2025/3/11 00:45,641,T4A02F9T
Default,Na (ppb),2025/3/12 00:45,609,T4A03F9T
Default,Na (ppb),2025/3/13 00:45,642,T4B01F9T
Default,Na (ppb),2025/3/14 00:45,680,T4D01F9T
Default,Na (ppb),2025/3/15 00:45,681,T4D07F9T
Default,Na (ppb),2025/3/16 00:45,686,T4E01F9T
Default,Na (ppb),2025/3/17 00:45,637,T4E03F9T
Default,Na (ppb),2025/3/18 00:45,660,T4F01F9T
Default,Na (ppb),2025/3/19 00:45,658,T4G01F9T
Default,Na (ppb),2025/3/20 00:45,636,T4H01F9T
Default,Na (ppb),2025/3/21 00:45,621,T4J01F9T
Default,Na (ppb),2025/3/22 00:45,640,T4K01F9T
Default,Na (ppb),2025/3/23 00:45,652,T4L01F9T
Default,Na (ppb),2025/3/24 00:45,677,T4M01F9T
Default,Na (ppb),2025/3/25 00:45,654,T5A01F9T
Default,Na (ppb),2025/3/26 00:45,653,T5B01F9T
Default,Na (ppb),2025/3/27 00:45,661,T5C01F9T
Default,Na (ppb),2025/3/28 00:45,660,T5C03F9T
Default,Na (ppb),2025/3/29 00:45,654,T5D01F9T
