GroupName,ChartName,point_time,point_val,Batch_ID
Group1,>.56 (Cst/mL),2025/6/21 0:45,59,T4A01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,60,T4A02F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,59,T4A03F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,59,T4B01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,57,T4D01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4D07F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4E01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4E03F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4F01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4G01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,58,T4H01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4J01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4K01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T4L01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,57,T4M01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T5A01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T5B01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T5C01F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T5C03F9T
Group1,>.56 (Cst/mL),2025/6/21 0:45,56,T5D01F9T
