GroupName,ChartName,point_time,point_val,Batch_ID
Group1,99% Particle Size (nm),2025/6/21 0:45,123.3,T4A01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124,T4A02F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123,T4A03F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124,T4B01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.7,T4D01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123,T4D07F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.3,T4E01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124.3,T4E03F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,122.3,T4F01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123,T4G01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.7,T4H01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124,T4J01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.7,T4K01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,122.7,T4L01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124,T4M01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123,T5A01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.7,T5B01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,123.3,T5C01F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124.7,T5C03F9T
Group1,99% Particle Size (nm),2025/6/21 0:45,124.3,T5D01F9T
