GroupName,ChartName,point_time,point_val,Batch_ID
Group1,Conductivity,2025/6/21 0:45,16811,T4A01F9T
Group1,Conductivity,2025/6/21 0:45,16813,T4A02F9T
Group1,Conductivity,2025/6/21 0:45,16822,T4A03F9T
Group1,Conductivity,2025/6/21 0:45,16812,T4B01F9T
Group1,Conductivity,2025/6/21 0:45,16771,T4D01F9T
Group1,Conductivity,2025/6/21 0:45,16744,T4D07F9T
Group1,Conductivity,2025/6/21 0:45,16766,T4E01F9T
Group1,Conductivity,2025/6/21 0:45,16866,T4E03F9T
Group1,Conductivity,2025/6/21 0:45,16808,T4F01F9T
Group1,Conductivity,2025/6/21 0:45,16835,T4G01F9T
Group1,Conductivity,2025/6/21 0:45,16858,T4H01F9T
Group1,Conductivity,2025/6/21 0:45,16851,T4J01F9T
Group1,Conductivity,2025/6/21 0:45,16858,T4K01F9T
Group1,Conductivity,2025/6/21 0:45,16840,T4L01F9T
Group1,Conductivity,2025/6/21 0:45,16743,T4M01F9T
Group1,Conductivity,2025/6/21 0:45,16854,T5A01F9T
Group1,Conductivity,2025/6/21 0:45,16803,T5B01F9T
Group1,Conductivity,2025/6/21 0:45,16860,T5C01F9T
Group1,Conductivity,2025/6/21 0:45,16781,T5C03F9T
Group1,Conductivity,2025/6/21 0:45,16819,T5D01F9T
