GroupName,ChartName,point_time,point_val,Batch_ID
Group1,K (ppm),2025/6/21 0:45,9044,T4A01F9T
Group1,K (ppm),2025/6/21 0:45,9065,T4A02F9T
Group1,K (ppm),2025/6/21 0:45,9030,T4A03F9T
Group1,K (ppm),2025/6/21 0:45,8992,T4B01F9T
Group1,K (ppm),2025/6/21 0:45,9065,T4D01F9T
Group1,K (ppm),2025/6/21 0:45,9056,T4D07F9T
Group1,K (ppm),2025/6/21 0:45,8995,T4E01F9T
Group1,K (ppm),2025/6/21 0:45,9062,T4E03F9T
Group1,K (ppm),2025/6/21 0:45,8987,T4F01F9T
Group1,K (ppm),2025/6/21 0:45,8982,T4G01F9T
Group1,K (ppm),2025/6/21 0:45,9046,T4H01F9T
Group1,K (ppm),2025/6/21 0:45,8991,T4J01F9T
Group1,K (ppm),2025/6/21 0:45,9069,T4K01F9T
Group1,K (ppm),2025/6/21 0:45,9033,T4L01F9T
Group1,K (ppm),2025/6/21 0:45,9040,T4M01F9T
Group1,K (ppm),2025/6/21 0:45,9013,T5A01F9T
Group1,K (ppm),2025/6/21 0:45,8981,T5B01F9T
Group1,K (ppm),2025/6/21 0:45,9011,T5C01F9T
Group1,K (ppm),2025/6/21 0:45,9008,T5C03F9T
Group1,K (ppm),2025/6/21 0:45,8998,T5D01F9T
