GroupName,ChartName,point_time,point_val,Batch_ID
Group1,LPC_0.23,2025/6/21 0:45,78620,T4A01F9T
Group1,LPC_0.23,2025/6/21 0:45,41157,T4A02F9T
Group1,LPC_0.23,2025/6/21 0:45,73492,T4A03F9T
Group1,LPC_0.23,2025/6/21 0:45,67918,T4B01F9T
Group1,LPC_0.23,2025/6/21 0:45,61161,T4D01F9T
Group1,LPC_0.23,2025/6/21 0:45,81794,T4D07F9T
Group1,LPC_0.23,2025/6/21 0:45,64922,T4E01F9T
Group1,LPC_0.23,2025/6/21 0:45,62664,T4E03F9T
Group1,LPC_0.23,2025/6/21 0:45,100535,T4F01F9T
Group1,LPC_0.23,2025/6/21 0:45,77207,T4G01F9T
Group1,LPC_0.23,2025/6/21 0:45,56028,T4H01F9T
Group1,LPC_0.23,2025/6/21 0:45,66719,T4J01F9T
Group1,LPC_0.23,2025/6/21 0:45,55483,T4K01F9T
Group1,LPC_0.23,2025/6/21 0:45,74177,T4L01F9T
Group1,LPC_0.23,2025/6/21 0:45,76561,T4M01F9T
Group1,LPC_0.23,2025/6/21 0:45,94024,T5A01F9T
Group1,LPC_0.23,2025/6/21 0:45,90592,T5B01F9T
Group1,LPC_0.23,2025/6/21 0:45,56132,T5C01F9T
Group1,LPC_0.23,2025/6/21 0:45,70758,T5C03F9T
Group1,LPC_0.23,2025/6/21 0:45,82568,T5D01F9T
