GroupName,ChartName,point_time,point_val,Batch_ID
Group1,Na (ppb),2025/6/21 0:45,630,T4A01F9T
Group1,Na (ppb),2025/6/21 0:45,641,T4A02F9T
Group1,Na (ppb),2025/6/21 0:45,609,T4A03F9T
Group1,Na (ppb),2025/6/21 0:45,642,T4B01F9T
Group1,Na (ppb),2025/6/21 0:45,680,T4D01F9T
Group1,Na (ppb),2025/6/21 0:45,681,T4D07F9T
Group1,Na (ppb),2025/6/21 0:45,686,T4E01F9T
Group1,Na (ppb),2025/6/21 0:45,637,T4E03F9T
Group1,Na (ppb),2025/6/21 0:45,660,T4F01F9T
Group1,Na (ppb),2025/6/21 0:45,658,T4G01F9T
Group1,Na (ppb),2025/6/21 0:45,636,T4H01F9T
Group1,Na (ppb),2025/6/21 0:45,621,T4J01F9T
Group1,Na (ppb),2025/6/21 0:45,640,T4K01F9T
Group1,Na (ppb),2025/6/21 0:45,652,T4L01F9T
Group1,Na (ppb),2025/6/21 0:45,677,T4M01F9T
Group1,Na (ppb),2025/6/21 0:45,654,T5A01F9T
Group1,Na (ppb),2025/6/21 0:45,653,T5B01F9T
Group1,Na (ppb),2025/6/21 0:45,661,T5C01F9T
Group1,Na (ppb),2025/6/21 0:45,660,T5C03F9T
Group1,Na (ppb),2025/6/21 0:45,654,T5D01F9T
