GroupName,ChartName,point_time,point_val,Batch_ID
Group1,Solids (%),2025/6/21 0:45,9.06,T4A01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4A02F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4A03F9T
Group1,Solids (%),2025/6/21 0:45,9.02,T4B01F9T
Group1,Solids (%),2025/6/21 0:45,9.02,T4D01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4D07F9T
Group1,Solids (%),2025/6/21 0:45,9,T4E01F9T
Group1,Solids (%),2025/6/21 0:45,9.05,T4E03F9T
Group1,Solids (%),2025/6/21 0:45,9.04,T4F01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4G01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4H01F9T
Group1,Solids (%),2025/6/21 0:45,9.01,T4J01F9T
Group1,Solids (%),2025/6/21 0:45,9.01,T4K01F9T
Group1,Solids (%),2025/6/21 0:45,9.04,T4L01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T4M01F9T
Group1,Solids (%),2025/6/21 0:45,9.03,T5A01F9T
Group1,Solids (%),2025/6/21 0:45,9.02,T5B01F9T
Group1,Solids (%),2025/6/21 0:45,9.01,T5C01F9T
Group1,Solids (%),2025/6/21 0:45,9.05,T5C03F9T
Group1,Solids (%),2025/6/21 0:45,9.06,T5D01F9T
