GroupName,ChartName,point_time,point_val,Batch_ID
Group1,Surfactant,2025/6/21 0:45,11.4,T4A01F9T
Group1,Surfactant,2025/6/21 0:45,12.1,T4A02F9T
Group1,Surfactant,2025/6/21 0:45,11,T4A03F9T
Group1,Surfactant,2025/6/21 0:45,13.1,T4B01F9T
Group1,Surfactant,2025/6/21 0:45,13.1,T4D01F9T
Group1,Surfactant,2025/6/21 0:45,13.4,T4D07F9T
Group1,Surfactant,2025/6/21 0:45,13,T4E01F9T
Group1,Surfactant,2025/6/21 0:45,13.4,T4E03F9T
Group1,Surfactant,2025/6/21 0:45,12.4,T4F01F9T
Group1,Surfactant,2025/6/21 0:45,11.6,T4G01F9T
Group1,Surfactant,2025/6/21 0:45,12.9,T4H01F9T
Group1,Surfactant,2025/6/21 0:45,12.3,T4J01F9T
Group1,Surfactant,2025/6/21 0:45,14.1,T4K01F9T
Group1,Surfactant,2025/6/21 0:45,11.6,T4L01F9T
Group1,Surfactant,2025/6/21 0:45,12.8,T4M01F9T
Group1,Surfactant,2025/6/21 0:45,12.3,T5A01F9T
Group1,Surfactant,2025/6/21 0:45,13.3,T5B01F9T
Group1,Surfactant,2025/6/21 0:45,11.7,T5C01F9T
Group1,Surfactant,2025/6/21 0:45,11.8,T5C03F9T
Group1,Surfactant,2025/6/21 0:45,12.6,T5D01F9T
