point_time,Batch_ID,GroupName,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2,Group2
,,ChartName,25% Particle Size (nm),75% Particle Size (nm),99% Particle Size (nm),99.9% Particle Size (nm),HPLC-BTA (%),Chemical 1,Conductivity,Norm_DP1,Norm_DP2,Norm_DP3,K (ppm),Surfactant,Na (ppb),Norm_Raw_MPS_2,Norm_Surfactant,LPC_0.23,LPC_0.29,>.56 (Cst/mL),>1.01 (Cst/mL),Particle_size,pH,Solids (%),SG,Viscosity_CP,Al (ppb),B (ppb),Zn (ppb),Zr (ppb),Ca (ppb),Co (ppb),Cr (ppb),Cu (ppb),Fe (ppb),Mg (ppb),Mn (ppb),Ni (ppb),Ti (ppb)
2025/3/10 00:45,T4A01F9T,,56.5,84,123.3,140,0.0065,16820,16811,-0.11,-0.07,-0.06,9044,11.4,630,-0.01,-0.54,78620,10917,59,8,66.7,9.85,9.06,1.0547,1.183,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/11 00:45,T4A02F9T,,56.6,84.2,124,140,0.0065,16748,16813,-0.11,-0.06,-0.03,9065,12.1,641,-0.01,-0.3,41157,6506,60,8,66.8,9.87,9.03,1.0548,1.183,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/12 00:45,T4A03F9T,,56.5,83.8,123,139.7,0.0065,16822,16822,-0.1,-0.05,-0.13,9030,11,609,0.01,-0.68,73492,6613,59,7,66.7,9.86,9.03,1.0547,1.183,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/13 00:45,T4B01F9T,,56.4,84.3,124,140,0.0066,16825,16812,-0.07,-0.06,-0.13,8992,13.1,642,0.01,0.02,67918,8066,59,8,66.8,9.83,9.02,1.0548,1.184,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/14 00:45,T4D01F9T,,56.4,84.1,123.7,140,0.0065,16748,16771,-0.07,-0.06,-0.1,9065,13.1,680,-0.01,0.02,61161,9068,57,7,66.7,9.87,9.02,1.0548,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/15 00:45,T4D07F9T,,56.3,83.7,123,139.7,0.0065,16740,16744,-0.09,-0.08,-0.02,9056,13.4,681,0,0.12,81794,8838,56,7,66.5,9.88,9.03,1.0547,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/16 00:45,T4E01F9T,,56.2,83.9,123.3,140,0.0065,16792,16766,-0.09,-0.1,-0.14,8995,13,686,0.03,0.01,64922,6199,56,8,66.5,9.84,9,1.0548,1.183,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/17 00:45,T4E03F9T,,56.3,84.2,124.3,140,0.0065,16804,16866,-0.12,-0.09,-0.16,9062,13.4,637,-0.03,0.12,62664,3014,56,8,66.6,9.84,9.05,1.0548,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/18 00:45,T4F01F9T,,56.3,83.8,122.3,140,0.0065,16814,16808,-0.11,-0.11,-0.17,8987,12.4,660,-0.01,-0.19,100535,8062,56,7,66.6,9.87,9.04,1.0546,1.184,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/19 00:45,T4G01F9T,,56.8,84.3,123,140,0.0065,16803,16835,-0.11,-0.07,-0.17,8982,11.6,658,0.01,-0.46,77207,8496,56,7,67,9.87,9.03,1.0548,1.186,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/20 00:45,T4H01F9T,,56.8,84.2,123.7,140,0.0065,16839,16858,-0.08,-0.08,-0.07,9046,12.9,636,0.02,-0.05,56028,2713,58,8,67.1,9.87,9.03,1.0546,1.184,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/21 00:45,T4J01F9T,,56.8,84.5,124,140,0.0065,16797,16851,-0.12,-0.08,-0.11,8991,12.3,621,-0.06,-0.22,66719,4636,56,7,67,9.87,9.01,1.0546,1.183,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/22 00:45,T4K01F9T,,56.5,84.2,123.7,140,0.0065,16793,16858,-0.1,-0.07,-0.04,9069,14.1,640,0.02,0.37,55483,3859,56,7,66.8,9.89,9.01,1.0546,1.186,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/23 00:45,T4L01F9T,,56.6,83.8,122.7,140,0.0065,16781,16840,-0.1,-0.09,-0.12,9033,11.6,652,0.01,-0.45,74177,4045,56,7,66.8,9.89,9.04,1.0547,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/24 00:45,T4M01F9T,,56.6,84.2,124,140,0.0065,16730,16743,-0.11,-0.09,-0.17,9040,12.8,677,0.06,-0.07,76561,11184,57,8,66.9,9.87,9.03,1.0547,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/25 00:45,T5A01F9T,,56.6,84.1,123,140,0.0065,16800,16854,-0.11,-0.09,-0.12,9013,12.3,654,0.04,-0.23,94024,15414,56,7,66.9,9.89,9.03,1.0547,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/26 00:45,T5B01F9T,,56.4,83.9,123.7,140,0.0065,16734,16803,-0.12,-0.08,-0.11,8981,13.3,653,-0.02,0.1,90592,5491,56,7,66.6,9.88,9.02,1.0548,1.186,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/27 00:45,T5C01F9T,,56.5,84.1,123.3,140,0.0065,16756,16860,-0.13,-0.11,-0.11,9011,11.7,661,-0.01,-0.42,56132,8694,56,7,66.7,9.85,9.01,1.0547,1.186,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/28 00:45,T5C03F9T,,56.3,84.2,124.7,140,0.0065,16731,16781,-0.12,-0.11,-0.16,9008,11.8,660,-0.03,-0.39,70758,8185,56,7,66.6,9.86,9.05,1.0548,1.185,100,100,100,100,100,100,100,100,200,100,100,100,100
2025/3/29 00:45,T5D01F9T,,56.4,84.2,124.3,140,0.0065,16788,16819,-0.12,-0.07,-0.09,8998,12.6,654,-0.01,-0.13,82568,5583,56,7,66.7,9.86,9.06,1.0548,1.186,100,100,100,100,100,100,100,100,200,100,100,100,100
